colYear,colMonth,DayOfMonths,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1990,7,31,2,1405,1405,1440,1430,CO,3006,,35,25,0,10,0,HOU,IAH,24,0,0,0,,0,0,0,0,0,0
1988,9,16,5,1430,1431,1503,1459,TW,388,,33,28,0,4,-1,BWI,DCA,30,0,0,0,,0,0,0,0,0,0
1990,12,9,7,1449,1449,1522,1517,TW,744,,33,28,0,5,0,BWI,DCA,30,0,0,0,,0,0,0,0,0,0
1989,3,18,6,1008,1015,1025,1035,AS,65,,17,20,0,-10,-7,WRG,PSG,31,0,0,0,,0,0,0,0,0,0
2006,8,19,6,800,755,836,830,OO,6142,N582SW,36,35,19,6,5,LAX,SNA,36,4,13,0,,0,0,0,0,0,0
1991,8,26,1,1830,1830,1851,1852,HP,1527,,21,22,0,-1,0,PUB,COS,37,0,0,0,,0,0,0,0,0,0
1988,12,11,7,1154,1200,1233,1224,UA,1196,,39,24,0,9,-6,SRQ,TPA,40,0,0,0,,0,0,0,0,0,0
1991,12,21,6,239,50,303,117,DL,198,,24,27,0,106,109,FLL,PBI,42,0,0,0,,0,0,0,0,0,0
1994,7,10,7,1400,1400,1430,1428,CO,619,,30,28,0,2,0,STT,STX,45,0,0,0,,0,0,0,0,0,0
2003,10,16,4,2235,2235,2316,2314,OO,6916,N958SW,41,39,23,2,0,LAX,ONT,47,2,16,0,,0,0,0,0,0,0
2004,10,31,7,635,636,701,709,OO,6098,N561SW,26,33,16,-8,-1,LAX,ONT,47,3,7,0,,0,0,0,0,0,0
2004,12,16,4,1319,1310,1353,1344,OO,6101,N561SW,34,34,19,9,9,LAX,ONT,47,1,14,0,,0,0,0,0,0,0
2004,4,5,1,700,700,735,737,OO,6105,N229SW,35,37,19,-2,0,OXR,LAX,49,8,8,0,,0,0,0,0,0,0
2000,5,5,5,1856,1900,1940,1936,NW,1460,N959N,44,36,17,4,-4,FNT,DTW,56,12,15,0,,0,0,0,0,0,0
2003,7,5,6,1209,1208,1247,1248,NW,1129,N787NC,38,40,17,-1,1,DTW,FNT,56,5,16,0,,0,0,0,0,0,0
2007,1,16,2,1724,1647,1651,1606,OO,5740,N583SW,27,19,15,45,37,YUM,IPL,58,3,9,0,,0,0,0,0,0,0
1989,3,19,7,1920,1920,1942,1945,HP,1089,,22,25,0,-3,0,GCN,FLG,62,0,0,0,,0,0,0,0,0,0
1996,9,17,2,717,700,744,735,NW,611,N288US,27,35,19,9,17,LAN,AZO,62,3,5,0,,0,0,0,0,0,0
1988,12,23,5,125,35,157,100,DL,529,,32,25,0,57,50,AGS,CAE,63,0,0,0,,0,0,0,0,0,0
2000,11,12,7,925,924,950,950,AQ,231,N804AL,25,26,19,0,1,ITO,KOA,64,2,4,0,,0,0,0,0,0,0
1987,11,23,1,1414,1415,1445,1443,UA,395,,31,28,0,2,-1,SAT,AUS,66,0,0,0,,0,0,0,0,0,0
1990,4,5,4,2200,2159,2233,2243,AA,1065,,33,44,0,-10,1,ORD,MKE,67,0,0,0,,0,0,0,0,0,0
1993,8,31,2,1211,1210,1248,1249,AA,1328,,37,39,0,-1,1,MKE,ORD,67,0,0,0,,0,0,0,0,0,0
1993,12,31,5,1757,1735,1831,1759,DL,1691,,34,24,0,32,22,JAC,IDA,67,0,0,0,,0,0,0,0,0,0
2007,8,9,4,1655,1700,1750,1746,OO,5829,N945SW,55,46,18,4,-5,ORD,MKE,67,3,34,0,,0,0,0,0,0,0
2007,10,25,4,1232,1235,1309,1315,MQ,4085,N692AE,37,40,15,-6,-3,ORD,MKE,67,4,18,0,,0,0,0,0,0,0
2005,10,15,6,1309,1317,1341,1358,UA,1063,N409UA,32,41,19,-17,-8,STT,SJU,68,3,10,0,,0,0,0,0,0,0
1999,10,10,7,1138,1135,1218,1211,US,1508,N809US,40,36,27,7,3,PIT,CAK,70,3,10,0,,0,0,0,0,0,0
2005,4,19,2,1441,1441,1525,1522,OH,5850,N798CA,44,41,30,3,0,LEX,CVG,70,3,11,0,,0,0,0,0,0,0
1988,11,23,3,1529,1530,1614,1605,TW,70,,45,35,0,9,-1,COS,DEN,72,0,0,0,,0,0,0,0,0,0
1990,5,15,2,1348,1350,1456,1424,CO,1101,,68,34,0,32,-2,COS,DEN,72,0,0,0,,0,0,0,0,0,0
1992,11,28,6,1505,1508,1532,1546,TW,572,,27,38,0,-14,-3,COS,DEN,72,0,0,0,,0,0,0,0,0,0
1993,11,17,3,840,842,931,924,UA,1491,,51,42,0,7,-2,DEN,COS,72,0,0,0,,0,0,0,0,0,0
1995,4,6,4,1601,1600,1632,1639,UA,290,N986UA,31,39,19,-7,1,COS,DEN,72,3,9,0,,0,0,0,0,0,0
1999,7,29,4,1044,840,1118,919,UA,1184,N7442U,34,39,16,119,124,COS,DEN,72,5,13,0,,0,0,0,0,0,0
2003,7,8,2,1820,1825,1851,1903,UA,373,N386UA,31,38,18,-12,-5,DEN,COS,72,5,8,0,,0,0,0,0,0,0
2008,9,4,4,824,825,921,905,OO,6583,N916SW,57,40,20,16,-1,DEN,COS,72,7,30,0,,0,0,0,0,0,0
1988,2,3,3,1321,1335,1353,1401,UA,694,,32,26,0,-8,-14,BHM,HSV,74,0,0,0,,0,0,0,0,0,0
1997,9,15,1,1332,1335,1424,1413,NW,380,N778NC,52,38,24,11,-3,LAN,DTW,74,22,6,0,,0,0,0,0,0,0
1991,5,26,7,2147,2145,2225,2225,US,723,,38,40,0,0,2,CLT,GSP,75,0,0,0,,0,0,0,0,0,0
1996,3,3,7,1701,1640,1740,1716,US,2441,N827US,39,36,19,24,21,CLT,GSP,75,3,17,0,,0,0,0,0,0,0
1996,3,23,6,704,700,737,736,US,203,N926VJ,33,36,23,1,4,GSP,CLT,75,2,8,0,,0,0,0,0,0,0
1989,11,28,2,1315,1315,1349,1349,NW,475,,34,34,0,0,0,RST,MSP,76,0,0,0,,0,0,0,0,0,0
1990,7,26,4,625,630,735,707,NW,680,,70,37,0,28,-5,RST,MSP,76,0,0,0,,0,0,0,0,0,0
1991,7,5,5,1944,1935,2020,2010,DL,1282,,36,35,0,10,9,ABE,MDT,77,0,0,0,,0,0,0,0,0,0
1994,8,16,2,1953,1955,2020,2025,UA,1245,,27,30,0,-5,-2,MRY,SFO,77,0,0,0,,0,0,0,0,0,0
1995,10,7,6,1106,1058,1200,1138,UA,1291,N409UA,54,40,21,22,8,SFO,MRY,77,4,29,0,,0,0,0,0,0,0
2003,3,10,1,2001,2001,2043,2042,OO,6711,N941SW,42,41,21,1,0,SFO,MRY,77,3,18,0,,0,0,0,0,0,0
2004,2,19,4,659,703,731,735,OO,6427,N903SW,28,32,17,-4,0,MRY,SFO,77,3,12,0,,0,0,0,0,0,0
1991,6,13,4,1840,1820,1912,1902,CO,603,,32,42,0,10,20,MLB,DAB,78,0,0,0,,0,0,0,0,0,0
1989,3,26,7,1245,1245,1310,1320,DL,1248,,25,35,0,-10,0,ROC,SYR,79,0,0,0,,0,0,0,0,0,0
1989,3,1,3,1155,1155,1228,1225,EA,559,,33,30,0,3,0,ROC,SYR,79,0,0,0,,0,0,0,0,0,0
1996,12,16,1,1328,1240,1359,1312,DL,780,N380DL,31,32,17,47,48,ROC,SYR,79,4,10,0,,0,0,0,0,0,0
1999,5,30,7,729,735,812,812,DL,1033,N543DA,43,37,18,0,-6,SYR,ROC,79,14,11,0,,0,0,0,0,0,0
2004,5,10,1,630,630,725,720,EV,4677,N860AS,55,50,26,5,0,MCN,ATL,79,6,23,0,,0,0,0,0,0,0
